acquisition,inchikey,column_hash,column,entryid
AU,WJCNZQLZVWNLKY-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106601
AU,WJCNZQLZVWNLKY-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106604
AU,WJCNZQLZVWNLKY-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106605
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106702
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106704
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106705
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106751
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106752
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106753
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106754
AU,NQPDXQQQCQDHHW-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106755
AU,VAOCPAMSLUNLGC-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106901
AU,DUOHVNSMLSPTMI-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107001
AU,PQFRTXSWDXZRRS-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107101
AU,VHRSUDSXCMQTMA-PJHHCJLFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107601
AU,VHRSUDSXCMQTMA-PJHHCJLFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107602
AU,VHRSUDSXCMQTMA-PJHHCJLFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107603
AU,VHRSUDSXCMQTMA-PJHHCJLFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107604
AU,VHRSUDSXCMQTMA-PJHHCJLFSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107605
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107701
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107702
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107703
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107704
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107705
AU,RJKFOVLPORLFTN-LEKSSAKUSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107706
AU,UREBDLICKHMUKA-CXSFZGCWSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107801
AU,UREBDLICKHMUKA-CXSFZGCWSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107802
AU,UREBDLICKHMUKA-CXSFZGCWSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107803
AU,UREBDLICKHMUKA-CXSFZGCWSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107804
AU,UREBDLICKHMUKA-CXSFZGCWSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU107805
AU,NAPNOSFRRMHNBJ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108201
AU,NAPNOSFRRMHNBJ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108202
AU,NAPNOSFRRMHNBJ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108203
AU,NAPNOSFRRMHNBJ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108204
AU,NAPNOSFRRMHNBJ-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108205
AU,ZDPIZLCVJAAHHR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108302
AU,ZDPIZLCVJAAHHR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108303
AU,ZDPIZLCVJAAHHR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108304
AU,ZDPIZLCVJAAHHR-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108305
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108401
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108402
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108403
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108404
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108405
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108451
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108452
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108453
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108454
AU,GOVWOKSKFSBNGD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108455
AU,LDBTVAXGKYIFHO-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU108501
